0086000000000000, 0086000000000000, 0060000000000000, 004C000000000000, 0073000000000000, 0055000000000000, 0028000000000000, 0055000000000000, 0055000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0022000000000000, 0022000000000000, 0000000000000000, 0007000000000000, 000C000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0003000000000000
0002000000000000, 0002000000000000, 0000000000000000, 0000000000000000, 0005000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
000D000000000000, 000D000000000000, 0000000000000000, 0003000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0023000000000000, 0023000000000000, 0000000000000000, 0007000000000000, 000D000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0196000000000000, 0196000000000000, 00A3000000000000, 00E5000000000000, 0103000000000000, 0057000000000000, 002C000000000000, 0057000000000000, 0057000000000000
0022000000000000, 0022000000000000, 0000000000000000, 0007000000000000, 000B000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0005000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0018000000000000, 0018000000000000, 0000000000000000, 0005000000000000, 0007000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0023000000000000, 0023000000000000, 0000000000000000, 0007000000000000, 000C000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0012000000000000, 0012000000000000, 0000000000000000, 0004000000000000, 0002000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0002000000000000
0002000000000000, 0002000000000000, 0000000000000000, 0000000000000000, 0024000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0010000000000000, 0010000000000000, 0000000000000000, 0003000000000000, 0004000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0002000000000000
000C000000000000, 000C000000000000, 0000000000000000, 0002000000000000, 0005000000000000, 0000000000000000, 0014000000000000, 001C000000000000, 001C000000000000
00A8000000000000, 00A8000000000000, 0074000000000000, 004D000000000000, 0079000000000000, 002F000000000000, 0019000000000000, 002F000000000000, 002F000000000000
0096000000000000, 0096000000000000, 00AD000000000000, 0077000000000000, 00BA000000000000, 0000000000000000, 0000000000000000, 0001000000000000, 0001000000000000
001D000000000000, 001D000000000000, 0000000000000000, 0006000000000000, 0006000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0072000000000000, 0072000000000000, 0063000000000000, 0054000000000000, 0071000000000000, 0055000000000000, 0036000000000000, 0056000000000000, 0055000000000000
0002000000000000, 0002000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
002D000000000000, 002D000000000000, 0000000000000000, 0009000000000000, 0011000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
000D000000000000, 000D000000000000, 0000000000000000, 0003000000000000, 0002000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
001C000000000000, 001C000000000000, 0000000000000000, 0006000000000000, 000A000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0001000000000000
0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0004000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
001C000000000000, 001C000000000000, 0000000000000000, 0006000000000000, 0008000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
0039000000000000, 0039000000000000, 0042000000000000, 002D000000000000, 004B000000000000, 0000000000000000, 0000000000000000, 0000000000000000, 0000000000000000
